title,year,country,genres,time,new_genres
Lunana: A Yak in the Classroom,2019,부탄,드라마,1시간 50분,드라마
Unhinged,2020,"미국,영국",액션/스릴러,1시간 30분,스릴러
찬실이는 복도 많지,2019,한국,드라마/로맨스/판타지,1시간 36분,드라마
天注定,2013,"중국,일본",드라마,2시간 10분,드라마
13 Hours: The Secret Soldiers of Benghazi,2016,"미국,모로코,몰타",전쟁/역사/액션/드라마/스릴러,2시간 24분,액션
검객,2020,한국,액션/시대극,1시간 40분,정보없음
디바,2020,한국,미스터리/스릴러,1시간 24분,스릴러
No Country for Old Men,2007,미국,범죄/스릴러/드라마,2시간 2분,스릴러
Morning Glory,2010,미국,코미디/드라마/로맨스/로맨틱코미디,1시간 47분,정보없음
도망친 여자,2019,한국,드라마,1시간 17분,드라마
恋の罪,2011,일본,드라마,2시간 24분,정보없음
Fences,2016,"미국,캐나다",드라마,2시간 18분,드라마
"여름, 버스",2018,한국,드라마/단편,18분,한국
